#Jam,#Suhu Min,#Suhu Max,#State
0,10,25,Normal
1,20,25,Normal
2,20,25,Normal
3,21,26,Normal
4,23,28,Normal
5,25,30,Normal
6,27,32,Normal
7,29,34,Normal
8,31,36,Normal
9,33,38,Normal
10,35,40,Normal
11,41,48,Suspicious
12,41,48,Suspicious
13,41,48,Suspicious
14,41,48,Suspicious
15,41,48,Suspicious
16,41,48,Suspicious
17,41,48,Suspicious
18,35,40,Normal
19,35,40,Normal
20,35,40,Normal
21,41,48,Suspicious
22,41,48,Suspicious
23,35,40,Normal
24,30,35,Normal
25,25,30,Normal
26,20,25,Normal
27,27,32,Normal
28,29,34,Normal
29,31,36,Normal
30,33,38,Normal
31,35,40,Normal
32,41,48,Suspicious
33,49,70,Emergency
34,49,70,Emergency
35,49,70,Emergency
36,49,70,Emergency
37,49,70,Emergency
38,49,70,Emergency
39,49,70,Emergency
40,49,70,Emergency
41,41,48,Suspicious
42,41,48,Suspicious
43,41,48,Suspicious
44,41,48,Suspicious
45,35,40,Normal
46,33,38,Normal
47,31,36,Normal
48,29,34,Normal
49,27,32,Normal
50,25,30,Normal
51,23,28,Normal
