#Jam,#Suhu Min,#Suhu Max,#State
0,20,25,Normal
1,21,26,Normal
2,23,28,Normal
3,25,30,Normal
4,27,32,Normal
5,29,34,Normal
6,31,36,Normal
7,33,38,Normal
8,35,40,Normal
9,41,48,Suspicious
10,41,48,Suspicious
11,41,48,Suspicious
12,49,70,Emergency
13,49,70,Emergency
14,49,70,Emergency
15,49,70,Emergency
16,49,70,Emergency
17,49,70,Emergency
18,49,70,Emergency
19,41,48,Suspicious
20,41,48,Suspicious
21,41,48,Suspicious
22,41,48,Suspicious
23,35,40,Normal
24,30,35,Normal
25,25,30,Normal
26,10,25,Normal
27,20,25,Normal
28,20,25,Normal
29,21,26,Normal
30,23,28,Normal
31,25,30,Normal
32,27,32,Normal
33,29,34,Normal
34,31,36,Normal
35,33,38,Normal
36,35,40,Normal
37,41,48,Suspicious
38,41,48,Suspicious
39,41,48,Suspicious
40,41,48,Suspicious
41,41,48,Suspicious
42,41,48,Suspicious
43,41,48,Suspicious
44,35,40,Normal
45,35,40,Normal
46,35,40,Normal
47,41,48,Suspicious
48,41,48,Suspicious
49,35,40,Normal
50,30,35,Normal
51,25,30,Normal
